
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:      2.5
-3.78788 -0.847318  2.5 
-3.87638 -0.823293  2.5 
-3.88889 -0.819217  2.5 
-3.95716 -0.783133  2.5 
-3.9899 -0.761223  2.5 
-4.00963 -0.742972  2.5 
-4.04163 -0.702811  2.5 
-4.06241 -0.662651  2.5 
-4.07238 -0.62249  2.5 
-4.0719 -0.582329  2.5 
-4.0613 -0.542169  2.5 
-4.04092 -0.502008  2.5 
-4.01105 -0.461847  2.5 
-3.9899 -0.440115  2.5 
-3.9654 -0.421687  2.5 
-3.90011 -0.381526  2.5 
-3.88889 -0.37565  2.5 
-3.78788 -0.342453  2.5 
-3.77938 -0.341365  2.5 
-3.68687 -0.330876  2.5 
-3.58586 -0.337806  2.5 
-3.57197 -0.341365  2.5 
-3.48485 -0.367501  2.5 
-3.45814 -0.381526  2.5 
-3.39479 -0.421687  2.5 
-3.38384 -0.430382  2.5 
-3.35569 -0.461847  2.5 
-3.32865 -0.502008  2.5 
-3.3104 -0.542169  2.5 
-3.30093 -0.582329  2.5 
-3.30037 -0.62249  2.5 
-3.30906 -0.662651  2.5 
-3.32751 -0.702811  2.5 
-3.35649 -0.742972  2.5 
-3.38384 -0.770268  2.5 
-3.40221 -0.783133  2.5 
-3.47707 -0.823293  2.5 
-3.48485 -0.826651  2.5 
-3.58586 -0.851455  2.5 
-3.68687 -0.857956  2.5 
-3.78788 -0.847318  2.5 


# Contour 1, label:        2
-0.959596  3.50979  2 
-0.973776  3.51406  2 
-1.06061  3.54555  2 
-1.074  3.55422  2 
-1.12566  3.59438  2 
-1.16162  3.63029  2 
-1.16463  3.63454  2 
-1.18817  3.6747  2 
-1.20615  3.71486  2 
-1.21927  3.75502  2 
-1.22805  3.79518  2 
-1.23291  3.83534  2 
-1.23417  3.8755  2 
-1.23207  3.91566  2 
-1.22677  3.95582  2 
-1.21839  3.99598  2 
-1.20701  4.03614  2 
-1.19265  4.07631  2 
-1.1753  4.11647  2 
-1.16162  4.14338  2 
-1.15366  4.15663  2 
-1.12584  4.19679  2 
-1.09443  4.23695  2 
-1.06061  4.27559  2 
-1.05899  4.27711  2 
-1.01143  4.31727  2 
-0.959596  4.35721  2 
-0.95923  4.35743  2 
-0.887043  4.39759  2 
-0.858586  4.41227  2 
-0.791822  4.43775  2 
-0.757576  4.45  2 
-0.656566  4.47394  2 
-0.622668  4.47791  2 
-0.555556  4.48541  2 
-0.454545  4.48514  2 
-0.395109  4.47791  2 
-0.353535  4.47219  2 
-0.252525  4.44376  2 
-0.23848  4.43775  2 
-0.158895  4.39759  2 
-0.151515  4.39311  2 
-0.107025  4.35743  2 
-0.0673436  4.31727  2 
-0.0505051  4.29522  2 
-0.0391326  4.27711  2 
-0.0205581  4.23695  2 
-0.00850331  4.19679  2 
-0.0024681  4.15663  2 
-0.00201612  4.11647  2 
