Time   Mix1   Mix2   Mix3   Mass1   Mass2   Mass3   FluxH   FluxE   FluxH1   FluxE1   FluxH2   FluxE2   FluxH3   FluxE3
0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 6.118026e+01 4.441356e+01 1.676670e+01 8.262365e+00 8.262365e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.997653e-01 1.210283e-01 1.763237e+00 1.489608e+00 6.118043e+01 4.441356e+01 1.676687e+01 4.612790e+00 8.262365e+00 1.521216e-02 3.650431e-182 4.191847e-169 0.000000e+00 1.521216e-02 3.650431e-182
1.099872e+00 2.844498e-01 2.235425e+00 2.032441e+00 6.118042e+01 4.441356e+01 1.676685e+01 5.002597e+00 5.536957e+00 2.141347e-01 5.076531e-04 2.594250e-28 3.365664e-174 2.141347e-01 5.076531e-04
1.599893e+00 4.198323e-01 2.402494e+00 2.333489e+00 6.115427e+01 4.441356e+01 1.674071e+01 5.611664e+00 4.173084e+00 3.836989e-01 8.372332e-02 2.601262e-10 1.650836e-42 3.836989e-01 8.372332e-02
2.099911e+00 5.049867e-01 2.483803e+00 2.567230e+00 6.104929e+01 4.441356e+01 1.663573e+01 6.039711e+00 4.649152e+00 4.873380e-01 1.338943e-01 1.977652e-06 9.047074e-13 4.873341e-01 1.338943e-01
2.599998e+00 5.584410e-01 2.870406e+00 2.802634e+00 6.087072e+01 4.441356e+01 1.645716e+01 6.258679e+00 4.808530e+00 5.430811e-01 2.096496e-01 5.568530e-04 7.775672e-08 5.424625e-01 2.096496e-01
3.099908e+00 6.138094e-01 3.008688e+00 2.911574e+00 6.063249e+01 4.441349e+01 1.621901e+01 6.444493e+00 4.989285e+00 6.422195e-01 2.865842e-01 2.264545e-02 2.185634e-04 6.191855e-01 2.863285e-01
3.599933e+00 6.633124e-01 3.123912e+00 3.002631e+00 6.033834e+01 4.441090e+01 1.592750e+01 6.585180e+00 5.118911e+00 7.842778e-01 3.179209e-01 8.590886e-02 6.393580e-03 6.981418e-01 3.114311e-01
4.099867e+00 6.891769e-01 3.379613e+00 3.092865e+00 5.999999e+01 4.438703e+01 1.561311e+01 6.530822e+00 5.132168e+00 9.036643e-01 3.521589e-01 2.088340e-01 3.546434e-02 6.946928e-01 3.166258e-01
4.599816e+00 7.420353e-01 3.686386e+00 3.213867e+00 5.962328e+01 4.431876e+01 1.530478e+01 6.535891e+00 5.033737e+00 1.098215e+00 3.943343e-01 3.804607e-01 8.551909e-02 7.178036e-01 3.086577e-01
5.099815e+00 8.222507e-01 4.078192e+00 3.365903e+00 5.918448e+01 4.421021e+01 1.497468e+01 6.482149e+00 4.959437e+00 1.152431e+00 4.789517e-01 4.996073e-01 1.511354e-01 6.529149e-01 3.276913e-01
5.599699e+00 9.030601e-01 4.829252e+00 3.756398e+00 5.864756e+01 4.402585e+01 1.462222e+01 6.881080e+00 4.742507e+00 1.475393e+00 5.969356e-01 7.701457e-01 2.358233e-01 7.053500e-01 3.610559e-01
6.099827e+00 1.051064e+00 6.724217e+00 4.915333e+00 5.804861e+01 4.376297e+01 1.428623e+01 6.617986e+00 4.775577e+00 1.711325e+00 6.757942e-01 1.058056e+00 3.274806e-01 6.534444e-01 3.482756e-01
6.599835e+00 1.344314e+00 9.923404e+00 6.418320e+00 5.736905e+01 4.343041e+01 1.393924e+01 6.980163e+00 4.525492e+00 2.155098e+00 6.681067e-01 1.535594e+00 3.258131e-01 6.195019e-01 3.423123e-01
7.099910e+00 1.878973e+00 1.351147e+01 7.712003e+00 5.654412e+01 4.293485e+01 1.360985e+01 7.433032e+00 4.307687e+00 3.297829e+00 1.008419e+00 2.637725e+00 6.801774e-01 6.582671e-01 3.282440e-01
7.599726e+00 2.907127e+00 1.731330e+01 8.464001e+00 5.532876e+01 4.208334e+01 1.324640e+01 1.383131e+01 4.094412e+00 1.011487e+01 1.081448e+00 6.757674e+00 7.472550e-01 3.352676e+00 3.341950e-01
8.099956e+00 4.622937e+00 2.064638e+01 8.763763e+00 5.296128e+01 4.025133e+01 1.271255e+01 2.509278e+01 2.630604e+00 2.014874e+01 1.105635e+00 1.722548e+01 7.559215e-01 2.913812e+00 3.484454e-01
8.599983e+00 6.600064e+00 2.192836e+01 8.483409e+00 4.725289e+01 3.564436e+01 1.161406e+01 2.101615e+01 2.621316e+00 1.225418e+01 1.684623e+00 1.076718e+01 1.282853e+00 1.508304e+00 4.008619e-01
9.099972e+00 7.769975e+00 1.960029e+01 7.033416e+00 3.683147e+01 2.754302e+01 9.295041e+00 1.100336e+01 3.976983e+00 2.569182e+00 2.713687e+00 2.130903e+00 2.043457e+00 4.479356e-01 6.684642e-01
9.599985e+00 7.032649e+00 1.349144e+01 4.370661e+00 2.329446e+01 1.747348e+01 5.831435e+00 8.262365e+00 1.058558e+01 0.000000e+00 7.760907e+00 0.000000e+00 5.296483e+00 0.000000e+00 2.461848e+00
9.999821e+00 4.943805e+00 8.084752e+00 2.124388e+00 1.279309e+01 1.005535e+01 2.746148e+00 8.262365e+00 1.269109e+01 0.000000e+00 7.124632e+00 0.000000e+00 4.052516e+00 0.000000e+00 3.072266e+00
