Time,Mix1,Mix2,Mix3,Error Mix1,,,,,,,,,,
0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-02,,,,,,,,,,
5.00E-01,8.80E-02,1.56E+00,1.30E+00,1.00E-02,,,,,,,,,,
1.00E+00,2.50E-01,2.18E+00,1.96E+00,1.00E-02,,,,,,,,,,
1.50E+00,3.99E-01,2.36E+00,2.29E+00,1.00E-03,,,,,,,,,,
2.00E+00,4.90E-01,2.45E+00,2.53E+00,1.00E-03,,,,,,,,,,
2.50E+00,5.50E-01,2.73E+00,2.65E+00,1.00E-03,,,,,,,,,,
3.00E+00,6.09E-01,3.01E+00,2.90E+00,1.00E-02,,,,,,,,,,
3.50E+00,6.55E-01,3.08E+00,2.98E+00,5.00E-03,,,,,,,,,,
4.00E+00,6.80E-01,3.32E+00,3.07E+00,7.00E-03,,,,,,,,,,
4.50E+00,7.32E-01,3.63E+00,3.19E+00,6.00E-03,,,,,,,,,,
5.00E+00,8.03E-01,3.98E+00,3.33E+00,1.00E-02,,,,,,,,,,
5.50E+00,8.83E-01,4.61E+00,3.63E+00,1.00E-02,,,,,,,,,,
6.00E+00,1.02E+00,6.26E+00,4.65E+00,4.00E-03,,,,,,,,,,
6.50E+00,1.27E+00,9.22E+00,6.11E+00,1.00E-02,,,,,,,,,,
7.00E+00,1.75E+00,1.28E+01,7.50E+00,1.00E-02,,,,,,,,,,
7.50E+00,2.66E+00,1.66E+01,8.35E+00,1.00E-02,,,,,,,,,,
8.00E+00,4.25E+00,2.01E+01,8.74E+00,1.00E-02,,,,,,,,,,
8.50E+00,6.26E+00,2.20E+01,8.61E+00,1.00E-02,,,,,,,,,,
9.00E+00,7.62E+00,2.04E+01,7.50E+00,1.00E-02,,,,,,,,,,
9.50E+00,7.48E+00,1.51E+01,5.03E+00,1.00E-02,,,,,,,,,,
1.00E+01,4.94E+00,8.08E+00,2.12E+00,1.00E-02,,,,,,,,,,
